Ementa,Assunto
Requer Reunião Ampliada para debater os direitos dos migrantes.,Pessoas em vulnerabilidade ou risco social
Pedido de informação a SME referente a fala do secretário Thiago Mello Peixoto em reunião com o Conselho Municipal de Educação no dia 10 de dezembro.,Manutenção da estrutura escolar
"Drenagem completa da Rua Felipe Neves, nas proximidades do nº 508, no Bairro Coloninha.",Rede de drenagem
"Desobstrução da boca de lobo localizada na Avenida Governador Ivo Silveira, nº 2100, bem como o reparo asfáltico adjacente à mesma.",Rede de drenagem
"Manutenção da calçada localizada na Avenida Governador Ivo Silveira, nº 1509, Bairro Estreito.",Manutenção da infraestrutura viária
"Reparos na calçada localizada na Rua Governador Ivo Silveira, nº 1282, no bairro Capoeiras.",Manutenção da infraestrutura viária
Concede o Título de Cidadão Honorário à Valmir Nascimento Milomem Santos.,Título de cidadã e cidadão honorário
Declara de Utilidade Pública a ASSOCIAÇÃO DE PAIS E PROFESSORES DA E.E.M. VEREADOR OSCAR MANOEL DA CONCEIÇÃO.,Título de utilidade pública
"MOÇÃO DE APLAUSOS à atleta Marcela Teixeira, do Clube Aldo Luz, pela brilhante conquista da medalha de ouro na estreia da categoria PR3 Mix no Campeonato Brasileiro de Remo de Praia, realizado em Vitória–ES.",Moção de aplausos
Solicita informações ao Poder Executivo sobre a execução das obras de contenção determinadas na ACP nº 5075474-71.2023.8.24.0023 e sobre os critérios técnicos para instalação de placas informativas no Bairro Estreito.,Defesa Civil e Áreas de Risco
"Requer informações ao Executivo Municipal, à Secretaria Municipal de Saúde e ao Conselho Municipal de Saúde sobre o funcionamento da Comissão Municipal de Prevenção e Controle das DST/HIV/AIDS (Cemaids) e sobre eventual processo de reorganização da referida comissão.",Prevenção e combate de doenças
Requer informações ao Poder Executivo sobre a destinação e a aplicação das verbas federais destinadas ao enfrentamento das DST/HIV/AIDS no Município,Gestão e Regulação da Saúde Pública
Indica ao Chefe do Poder Executivo a constituição de Grupo de Trabalho Intersetorial para realização consulta pública e mapeamento dos pontos cegos de segurança urbana no município.,Prevenção e policiamento
"Indica ao Executivo Municipal a necessidade de instalar boca de lobo na Servidão Toca da Coruja, à altura do nº 54, no bairro Rio Tavares.",Rede de drenagem
"Indica ao Executivo Municipal a necessidade de instalar lixeiras em pontos da Rua Lomba do Sabão, no Campeche.",Limpeza Urbana
"Indica a instalação de galeria pluvial na Rua Laurindo José de Souza, localizada na Fortaleza da Barra da Lagoa.",Rede de drenagem
"Indica roçagem na praça Caiçara, bairro Itacorubi",Criação e manutenção de área de lazer e atividade física
"Conserto da boca de lobo cuja grade encontra-se quebrada e a recuperação do asfalto na Avenida Governador Silveira, nº 2003, Bairro Estreito.",Manutenção da infraestrutura viária
"Realização de drenagem e limpeza da boca de lobo, bem como a manutenção/substituição do cano do sistema P.A.D., além do envio de máquina Bobcat para suporte operacional, na Servidão Laranjeira, nº 198, Bairro Capoeiras",Manutenção da infraestrutura viária
Indicação de obras de pavimentação e recuperação viária na R. das Piraúnas - bairro Jurerê Internacional,Manutenção da infraestrutura viária
"Indicação de estudo de viabilidade para instalação de faixa elevada de pedestres na Estr. Dom João Becker, nº 1585 – Bairro Ingleses",Organização do trânsito
"Indicação de instalação do abrigo no ponto de ônibus localizado na Servidão do Engenho Sul, 1780 - Tapera da Base",Manutenção da infraestrutura viária
Indicação de estudo de viabilidade para implantação de faixa amarela do tipo MAC – Marcação de Área de Conflito – na Rua Senador Milton Campos - Coqueiros,Organização do trânsito
Requer informações à Secretaria Municipal de Educação acerca do chamamento de Professor Auxiliar de Educação Especial (PAEEs) no concurso público vigente,Trabalhadores da educação
Solicita a tramitação simultânea do Projeto de Lei N.º 19423/2024 nas Comissões de mérito.,Pedido de tramitação em comissão
"Juntada do relatório, em anexo, ao PL 19.767/2025.",Juntada de documento
"Indicação de melhoria no trânsito na Servidão José Kumakola, na Costeira do Pirajubaé",Manutenção da infraestrutura viária
Solicitação de providências quanto à obstrução da calçada e à situação de abandono de terrenos na Rua Álvaro Ramos,Limpeza Urbana
CONCEDE TÍTULO DE CIDADÃ HONORÁRIA DO MUNICÍPIO DE FLORIANÓPOLIS À SENHORA ANA PAULA MENDES.,Título de cidadã e cidadão honorário
Moção de aplausos pelos 30 anos do templo da Assembleia de Deus de Ratones,Moção de aplausos
"Requer informações sobre o número de imóveis regularizados pela Lei nº 374/2010, que dispõe sobre a regularização de construções irregulares e clandestinas de atividade não residencial sem licença para funcionamento",Moradia
Requer à CASAN averiguar o abastecimento de água no bairro Monte Cristo.,Rede de abastecimento de água
"Indica ao Executivo Municipal a necessidade de pavimentação e instalação de tubulação para drenagem pluvial na Servidão Isaurino Germano Vidal, no bairro Rio Tavares.",Manutenção da infraestrutura viária
Indicação de conserto de lixeira na esquina da Servidão Rouxinol com rua Luiz Carlos Prestes,Manutenção da infraestrutura viária
"Sugere providências por meio do órgão competente, para a implementação de novo pavimento em toda a extensão da Rua Maestro Aldo Krieger, localizada no bairro Córrego Grande.",Manutenção da infraestrutura viária
"Sugere providências ao órgão competente para realização de um estudo técnico visando à instalação de lombada ou lombofaixa na Rodovia Dr. Antônio Luiz Moura Gonzaga, nas proximidades da Mecânica Garage 433, localizado no bairro Rio Tavares, Florianópolis/SC.",Manutenção da infraestrutura viária
"Solicito a instalação de placas de proibido estacionar na Servidão Esperança, localizada no bairro Ingleses do Rio Vermelho, em Florianópolis.",Manutenção da infraestrutura viária
"Solicito o reparo do ponto de ônibus, localizado na Rodovia João Gualberto Soares, no bairro Rio Vermelho, em Florianópolis.",Manutenção da infraestrutura viária
"Solicito a instalação lixeiras na Estrada Vereador Onildo Lemos, nº 1313, no bairro Santinho, em Florianópolis.",Limpeza Urbana
"Solicito a retirada dos restos de obras acumulados na Rua das Gaivotas, nas proximidades do número 1774, no bairro Ingleses Norte, em Florianópolis.",Limpeza Urbana
"Sugere ao Poder Executivo Municipal a realização de articulação institucional com a Polícia Civil e a Polícia Científica de Santa Catarina, a fim de assegurar atendimento ininterrupto (24 horas) no Espaço Acolher, especialmente no que se refere à realização de exames de corpo de delito e atendimento policial especializado para mulheres vítimas de violência.",Política para mulheres
"Revitalização da calçada localizada na Servidão das Seringueiras, nº 289, no bairro Monte Cristo.",Manutenção da infraestrutura viária
"Solicita manutenção de via pública, no final da Rua São Judas Tadeu, Morro da Queimada, no José Mendes.",Manutenção da infraestrutura viária
Indicação de manutenção de lajotas na Servidão Manoel Antônio Vieira nº 95 – Bairro Costeira do Pirajubaé.,Manutenção da infraestrutura viária
Solicitação de Desobstrução na Servidão Domingos Manoel,Rede de drenagem
Solicitação reparos estruturais no Orquidário Municipal Marino Joaquim Coelho,Governança ambiental
"Altera o art. 5º da Lei nº 7.667, de 27 de junho de 2008, que institui o Programa Municipal de Proteção e Conservação do Patrimônio Imaterial ou Intangível do Município de Florianópolis.",Patrimônio cultural
"DENOMINA PRAÇA GUIDO CARDOSO ZIMMERMANN, NO BAIRRO ESTREITO.",Legalização e denominação de vias e espaços públicos
Institui o Serviço de Atendimento Móvel de Urgência em Saúde Mental (SAMU-SM) no Município de Florianópolis,Equipamentos públicos de saúde
REQUERIMENTO DE INFORMAÇÕES SOBRE A MANUTENÇÃO DOS ELEVADORES DE ACESSIBILIDADE NOS ÔNIBUS DO TRANSPORTE COLETIVO DE FLORIANÓPOLIS,Transporte público
"REQUERIMENTO À SECRETARIA DE ESTADO DA INFRAESTRUTURA E MOBILIDADE (SIE) PARA ANÁLISE E IMPLANTAÇÃO DE CALÇADAS PARA PEDESTRES NAS RODOVIAS ESTADUAIS LOCALIZADAS NO MUNICÍPIO DE FLORIANÓPOLIS (SC-401, SC-404, SC-405 E SC-406)",Expansão da infraestrutura de mobilidade
"Solicita à Secretaria de Estado da Infraestrutura e Mobilidade de Santa Catarina a realização de pintura predial na Escola de Educação Básica Muquém, no bairro São João do Rio Vermelho.",Manutenção da estrutura escolar
Requer que seja anexado documento faltante ao PL 19794/2025,Juntada de documento
Requer informações acerca do planejamento ambiental do município para o verão 2025/2026,Governança ambiental
Requer que documento faltante seja anexado ao PL 19779/2025,Juntada de documento
Inclui dispositivo na Lei 482/2014 - (Plano Diretor),Plano diretor
"Sugere providências por meio do órgão competente visando à realização de estudo para a implementação de uma Rota Gastronômica, com início na Praça Milton Tatu, localizada na Rodovia SC-406, no bairro Rio Tavares, e término no bairro Porto da Lagoa, especificamente no limite com o bairro Rio Tavares.",Criação e manutenção de área de lazer e atividade física
"Indica à SMHDU fiscalização de construção de empreendimento multifamiliar em AVL na rua Laureano, próximo ao número 887, Campeche",Fiscalização administrativa e sanções
Solicitação de reparo emergencial no teto da quadra e do refeitório da Escola Dilma Lúcia dos Santos,Manutenção da estrutura escolar
"Indica Poda de Vegetação na Rodovia Baldicero Filomeno, altura do nº 9900 e em toda a sua extensão",Limpeza Urbana
"Indica Poda de Vegetação na Rua Vereador Osni Ortiga, altura do nº 2720",Limpeza Urbana
Indica reparo em buraco no bairro Capoeiras,Manutenção da infraestrutura viária
"Indica Manutenção e Substituição de Abrigo de Ônibus na Rodovia Baldicero Filomeno, nº 4787",Manutenção de pontos de ônibus
"Indica Fiscalização de Estacionamento Irregular na Rodovia SC-406, em frente à Lagoa do Peri",Estacionamentos e vagas rotativas
"Indicação de limpeza de terreno Privado e vistoria sanitária na Av. Mauro Ramos, nº 542 - Bairro Centro",Limpeza Urbana
"Solicito serviços de drenagem na Rua Quadrangular, no bairro Ingleses, Em Florianópolis.",Rede de drenagem
"Solicito serviços de manutenção e recuperação da pavimentação asfáltica na Rua Vereador Frederico Veras, no Bairro Pantanal, Em Florianópolis.",Manutenção da infraestrutura viária
"Solicito os reparos na pavimentação da Rua dos Tubarões, localizada no bairro Ingleses, Em Florianópolis.",Manutenção da infraestrutura viária
"Solicito o reparo na boca de lobo localizada na Rua Henríque Vera do Nascimento, no Bairro Lagoa da Conceição, Em Florianópolis.",Rede de drenagem
Indica conserto e manutenção urgente na Ponte Pênsil do Canal da Barra da Lagoa,Manutenção da infraestrutura viária
Indica Requalificação Completa da Calçada da Rua Conselheiro Mafra – Centro de Florianópolis,Manutenção da infraestrutura viária
desentupimento e limpeza dos boeiros localizados na Rua Caravelas no Bairro Ingleses do Rio Vermelho,Rede de drenagem
"Indica Solicitação de Mudança de Local do Ponto de Parada de Ônibus na Rodovia Baldicero Filomeno, altura do nº 9550 (ID 130)",Transporte público
Indica Manutenção Completa do Petit Pavê na Região da Praça XV e Catedral Metropolitana,Manutenção da infraestrutura viária
Solicitação de fiscalização e providências quanto à obstrução da calçada na Avenida Antônio Borges dos Santos,Acessibilidade
Indica Ampliação da Frequência da Coleta de Lixo Orgânico e Reciclável no Ribeirão da Ilha,Limpeza Urbana
Indica Requalificação Completa da Calçada da Rua Felipe Schmidt – Centro de Florianópolis,Manutenção da infraestrutura viária
"Indica Instalação de Contentores de Lixo na Rodovia Baldicero Filomeno, altura do nº 10750",Manutenção da infraestrutura viária
Indica Instalação de Contentores de Lixo na Caieira da Barra do Sul,Limpeza Urbana
Indica limpeza de montes de areia deixados nas calçadas do bairro Monte Verde após obras da CELESC,Manutenção da infraestrutura viária
Indica correção e limpeza de bueiros no bairro Monte Verde,Rede de drenagem
Solicitação de pavimentação da Servidão Agenor Albino Medeiros,Manutenção da infraestrutura viária
"DENOMINA PRAÇA PÚBLICA, KHADER MAHMUD AHMAD OTHMAN, LOCALIZADA NO BAIRRO ESTREITO.",Legalização e denominação de vias e espaços públicos
MODIFICA O ARTIGO 1º DA LEI 8826/2012 E DÁ OUTRAS PROVIDÊNCIAS,Legalização e denominação de vias e espaços públicos
MODIFICA O ARTIGO 1º DA LEI 436/2000 E DÁ OUTRAS PROVIDÊNCIAS,Legalização e denominação de vias e espaços públicos
"DENOMINA ARENA DE ESPORTES E LAZER ""ANDRÉ FELIPE ADRIANO"" LOCALIZADA NA PRAIA DA FORTALEZA, BAIRRO BARRA DA LAGOA.",Legalização e denominação de vias e espaços públicos
Dispõe sobre a vedação de manifestações visuais de cunho político-partidário ou ideológico nos bens públicos do Município de Florianópolis e dá outras providências.,Decoro e conduta em espaços públicos
"Requer a realização de Audiência Pública no âmbito da Comissão de Defesa do Consumidor, Direitos Humanos e Segurança Pública para tratar da morte do adolescente Hudson Pinheiro Martins Cipriano durante operação da Polícia Militar no Morro da Queimada, em Florianópolis.",Violência do Estado
Requer ao Poder Executivo Municipal o encaminhamento de cópia dos demonstrativos mensais de arrecadação da Outorga Onerosa do Direito de Construir vinculados ao Fundo Municipal de Desenvolvimento Urbano (FMDU).,Impactos urbanísticos de empreendimentos
"Requer ao Governo do Estado, por meio da Secretaria de Estado da Infraestrutura e Mobilidade (SIE), informações e providências quanto a desnivelamento na pista da esquerda da Ponte Colombo Salles, no sentido Continente–Ilha.",Manutenção da infraestrutura viária
"Requer a realização de Audiência Pública, no âmbito da Comissão de Saúde, para tratar sobre o novo Hospital Veterinário do Município de Florianópolis.",Gestão da política de proteção animal
"Indica ao Poder Executivo a restrição do trânsito para apenas trânsito local, com instalação de sinalização, no período noturno e aos fins de semana, nas ruas Tiradentes e no Calçadão da João Pinto.",Organização do trânsito
Indica ao Executivo Municipal a publicação mensal dos valores arrecadados com Outorga Onerosa no site do Fundo Municipal de Desenvolvimento Urbano (FMDU).,Impactos urbanísticos de empreendimentos
Indica ao Executivo Municipal a instalação de cortinas em toda a frota de ônibus do transporte coletivo urbano.,Transporte público
Indica ao Executivo Municipal a substituição de copos plásticos de uso único por copos de papel em toda a administração pública municipal.,Educação ambiental
Indica ao Presidente da Câmara Municipal a substituição de copos plásticos de uso único por copos de papel.,Educação ambiental
